Timestamp,What is your favorite number?,What was the maximum temperature in your area yesterday?,What is the name of your favorite comic book character?,What genre of music do you like to listen to?,How much total rainfall did your city/region receive in 2016? (in inches),What is the title of the book that you are reading (or last read)?,How many pages are there in that book?
8/21/2017 11:35:02,42,84,Naruto,Country,28.2,How to make friends and influence people,288
8/21/2017 20:16:03,32,80,Superman,Rock,45,Executive Power,512
8/21/2017 20:35:22,21,91,Flash,Hip-Hop,54,Waking Up,312
8/21/2017 21:13:48,39,91F,Spiderman,EDM,38.69,1q84,928
8/22/2017 5:38:36,6,102.2,Batman,New Age,42,Game Theory,310
8/22/2017 22:33:16,3,80,Batman,Country,50,See Me,486
8/23/2017 9:57:22,10,90,Tony Stark ,Rock,43,The Signal and the Noise,560
8/23/2017 11:32:40,509,81,Static,Jazz,,The Great and Holy War,377
8/23/2017 14:24:33,7,85,Super Machine Learning Man,Rock,10,Pillar of the Earth,1023
8/23/2017 14:25:36,4,95,Superman,Trap,41,Three-body Problem,302
8/23/2017 18:18:39,21,84 degree F,Deadpool,Rap,27,Machine Learning,400
8/24/2017 9:49:34,555,31,Woody Woodpecker,Jazz,43,Our Pristine Mind,194
8/24/2017 15:57:44,8,80,Adam,Pop,42,Deep Learning with Keras,303
8/25/2017 11:49:00,42,90,Wolverine,Blues,35.5,Make Something Up: Stories You Can't Unread,336
8/25/2017 16:14:12,23,79,Superman,Pop,21,zero to one,224
8/26/2017 12:32:59,127,94,Wonder Woman,Rock,21,Seven Eves,880
8/26/2017 13:56:50,31,74,spiderman,Rap,22,death in the air,304
8/27/2017 2:21:14,13,110,Tintin,Country,2.49,Freakonomics,336
8/27/2017 6:06:10,Blue,29 Degree Celsius,Batman,Rock,10,A Tree Grows in Brooklyn,860
8/27/2017 12:33:44,73,73 deg F,Jessica Jones,Rock,35,Never Say Die,385
8/27/2017 12:39:48,7,86,Christian Walker,Hip-Hop,38.7,Hyperion,481
8/27/2017 12:43:50,42,87,Wolverine,Rock,14.68,The Martian,369
8/27/2017 13:22:18,12,82,John Snow,Country,56,Kubernetes Up and Running,300
8/27/2017 16:03:44,13,26,Bruce Wayne,Piano,45.18,Unit Operations,305
